id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
497411,2023-01-05,quinta-feira,10:15:00,PA,163,788,RUROPOLIS,Ultrapassagem Indevida,Colisão lateral mesmo sentido,Com Vítimas Fatais,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Sim,5,1,0,0,2,3,0,5,"-4,079496","-54,921111",SPRF-PA,DEL05-PA,UOP01-DEL05-PA
497966,2023-01-08,domingo,09:00:00,PA,155,321,MARABA,Ultrapassagem Indevida,Colisão frontal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,3,0,1,0,1,1,1,2,"-5,56653113","-49,0769657",SPRF-PA,DEL03-PA,UOP01-DEL03-PA
498626,2023-01-11,quarta-feira,20:40:00,PA,230,594,VITORIA DO XINGU,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,6,0,1,0,5,0,1,3,"-3,09699324","-51,86687506",SPRF-PA,DEL04-PA,UOP01-DEL04-PA
498707,2023-01-12,quinta-feira,12:00:00,PA,316,"130,6",NOVA TIMBOTEUA,Transitar na contramão,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Reta,Não,5,0,2,1,2,0,3,2,"-1,28644069","-47,3517171",SPRF-PA,DEL01-PA,UOP03-DEL01-PA
498886,2023-01-13,sexta-feira,07:00:00,PA,155,276,ELDORADO DO CARAJAS,Ausência de reação do condutor,Saída de leito carroçável,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,3,0,0,0,2,1,0,3,"-5,92992101","-49,21617196",SPRF-PA,DEL03-PA,UOP01-DEL03-PA
499162,2023-01-14,sábado,06:00:00,PA,153,140,SAO GERALDO DO ARAGUAIA,Reação tardia ou ineficiente do condutor,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Aclive,Não,3,0,2,0,0,1,2,2,"-6,312557","-48,594467",SPRF-PA,DEL03-PA,UOP01-DEL03-PA
499588,2023-01-16,segunda-feira,16:45:00,PA,10,"23,7",DOM ELISEU,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Fatais,Pleno dia,Decrescente,Sol,Simples,Reta;Aclive,Não,4,1,1,0,2,0,1,3,"-4,24085813","-47,55672076",SPRF-PA,DEL02-PA,UOP02-DEL02-PA
500478,2023-01-20,sexta-feira,16:00:00,PA,163,397,ITAITUBA,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,3,0,1,0,1,4,1,6,"-6,32296799","-55,58613917",SPRF-PA,DEL05-PA,UOP01-DEL05-PA
500850,2023-01-22,domingo,18:00:00,PA,163,295,NOVO PROGRESSO,Velocidade Incompatível,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Crescente,Ignorado,Simples,Reta,Não,3,0,1,0,1,3,1,5,"-7,17762002","-55,36468489",SPRF-PA,DEL05-PA,UOP01-DEL05-PA
500913,2023-01-24,terça-feira,15:30:00,PA,155,219,ELDORADO DO CARAJAS,Reação tardia ou ineficiente do condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Ignorado,Simples,Reta,Não,3,0,1,0,0,2,1,3,"-6,36038898","-49,39952606",SPRF-PA,DEL03-PA,UOP01-DEL03-PA
501836,2023-01-28,sábado,17:20:00,PA,230,1113,ITAITUBA,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Sem Vítimas,Anoitecer,Decrescente,Céu Claro,Simples,Curva,Não,2,0,0,0,1,2,0,3,"-4,39947138","-55,91972351",SPRF-PA,DEL05-PA,UOP01-DEL05-PA
502527,2023-02-01,quarta-feira,17:30:00,PA,316,47,SANTA IZABEL DO PARA,Demais falhas mecânicas ou elétricas,Incêndio,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,1,0,0,0,1,0,0,1,"-1,2853682","-48,06269824",SPRF-PA,DEL01-PA,UOP01-DEL01-PA
502614,2023-02-02,quinta-feira,08:00:00,PA,316,35,SANTA IZABEL DO PARA,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Reta,Sim,2,0,0,1,1,0,1,2,"-1,29146197","-48,164561",SPRF-PA,DEL01-PA,UOP01-DEL01-PA
502742,2023-02-02,quinta-feira,15:05:00,PA,163,655,ITAITUBA,Manobra de mudança de faixa,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Curva,Não,3,0,1,0,1,5,1,7,"-4,49732299","-55,86656962",SPRF-PA,DEL05-PA,UOP02-DEL05-PA
502855,2023-02-03,sexta-feira,09:00:00,PA,163,581,TRAIRAO,Transitar na contramão,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Curva,Não,5,0,1,0,3,11,1,15,"-4,9837331","-56,20602214",SPRF-PA,DEL05-PA,UOP02-DEL05-PA
502915,2023-02-03,sexta-feira,17:30:00,PA,163,518,TRAIRAO,Manobra de mudança de faixa,Colisão lateral sentido oposto,Com Vítimas Fatais,Pleno dia,Decrescente,Sol,Simples,Reta;Aclive,Não,3,1,0,0,1,2,0,4,"-5,36932212","-55,88988638",SPRF-PA,DEL05-PA,UOP01-DEL05-PA
503270,2023-02-05,domingo,06:40:00,PA,316,128,NOVA TIMBOTEUA,Problema com o freio,Atropelamento de Pedestre,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Simples,Reta,Não,3,0,1,0,1,1,1,3,"-1,29803243","-47,37596671",SPRF-PA,DEL01-PA,UOP03-DEL01-PA
504016,2023-02-09,quinta-feira,09:15:00,PA,316,40,SANTA IZABEL DO PARA,Acessar a via sem observar a presença dos outros veículos,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,0,1,1,0,1,2,"-1,2795637","-48,12243407",SPRF-PA,DEL01-PA,UOP01-DEL01-PA
504071,2023-01-29,domingo,18:30:00,PA,316,60,CASTANHAL,Pista Escorregadia,Queda de ocupante de veículo,Com Vítimas Fatais,Plena Noite,Decrescente,Chuva,Dupla,Reta,Sim,4,1,0,0,1,2,0,3,"-1,29772957","-47,95528793",SPRF-PA,DEL01-PA,UOP01-DEL01-PA
504084,2023-02-09,quinta-feira,12:20:00,PA,10,"88,8",ULIANOPOLIS,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Aclive,Não,3,0,1,0,1,1,1,3,"-3,668222","-47,487393",SPRF-PA,DEL02-PA,UOP02-DEL02-PA
505657,2023-02-17,sexta-feira,14:30:00,PA,316,55,CASTANHAL,Acumulo de água sobre o pavimento,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Não,2,0,1,0,1,0,1,1,"-1,30561339","-47,99919919",SPRF-PA,DEL01-PA,UOP01-DEL01-PA
505846,2023-02-17,sexta-feira,19:10:00,PA,10,"244,5",AURORA DO PARA,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Sem Vítimas,Plena Noite,Crescente,Nublado,Simples,Reta,Não,2,0,0,0,0,2,0,2,"-2,303868","-47,56388595",SPRF-PA,DEL02-PA,UOP01-DEL02-PA
505921,2023-02-18,sábado,13:30:00,PA,222,69,RONDON DO PARA,Demais falhas mecânicas ou elétricas,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta;Declive,Não,2,0,1,0,1,0,1,2,"-4,564695","-47,836113",SPRF-PA,DEL02-PA,UOP02-DEL02-PA
506062,2023-02-19,domingo,06:30:00,PA,316,20,BENEVIDES,Entrada inopinada do pedestre,Atropelamento de Pedestre,Com Vítimas Fatais,Amanhecer,Crescente,Nublado,Dupla,Reta,Sim,3,1,0,0,1,1,0,2,"-1,3642339","-48,266582",SPRF-PA,DEL01-PA,UOP01-DEL01-PA
506141,2023-02-19,domingo,14:50:00,PA,155,342,MARABA,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Sim,4,0,0,1,2,3,1,6,"-5,37851903","-49,07674765",SPRF-PA,DEL03-PA,UOP01-DEL03-PA
506773,2023-02-22,quarta-feira,05:00:00,PA,230,1121,ITAITUBA,Ausência de reação do condutor,Colisão traseira,Com Vítimas Feridas,Amanhecer,Crescente,Nublado,Simples,Reta;Aclive,Não,3,0,1,0,1,4,1,6,"-4,3739758","-55,84671907",SPRF-PA,DEL05-PA,UOP02-DEL05-PA
506781,2023-02-23,quinta-feira,04:00:00,PA,163,500,TRAIRAO,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Simples,Curva;Aclive,Não,2,0,1,0,0,3,1,4,"-5,50289987","-55,83120751",SPRF-PA,DEL05-PA,UOP02-DEL05-PA
506985,2023-02-24,sexta-feira,14:40:00,PA,316,"61,9",CASTANHAL,Manobra de mudança de faixa,Colisão lateral mesmo sentido,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Dupla,Reta;Interseção de Vias,Sim,3,0,0,0,2,1,0,3,"-1,29686015","-47,94639002",SPRF-PA,DEL01-PA,UOP01-DEL01-PA
