"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
652493;2025-01-01;"quarta-feira";"06:20:00";"SP";116;225;"GUARULHOS";"Reação tardia ou ineficiente do condutor";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Múltipla";"Reta;Declive";"Sim";2;0;1;0;0;1;1;2;"-23.48586772";"-46.54075317";"SPRF-SP";"DEL01-SP";"UOP01-DEL01-SP"
652519;2025-01-01;"quarta-feira";"07:50:00";"CE";116;546,2;"PENAFORTE";"Pista esburacada";"Colisão frontal";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";6;1;1;0;1;4;1;6;"-7.812288";"-39.08333306";"SPRF-CE";"DEL05-CE";"UOP03-DEL05-CE"
652522;2025-01-01;"quarta-feira";"08:45:00";"PR";369;88,2;"CORNELIO PROCOPIO";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Dupla";"Reta;Aclive";"Sim";5;0;3;0;2;0;3;2;"-23.182565";"-50.637228";"SPRF-PR";"DEL07-PR";"UOP05-DEL07-PR"
652544;2025-01-01;"quarta-feira";"11:00:00";"PR";116;74;"CAMPINA GRANDE DO SUL";"Reação tardia ou ineficiente do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";5;0;1;0;4;0;1;2;"-25.36517687";"-49.04223028";"SPRF-PR";"DEL01-PR";"UOP02-DEL01-PR"
652549;2025-01-01;"quarta-feira";"09:30:00";"MG";251;471;"FRANCISCO SA";"Velocidade Incompatível";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Simples";"Curva;Declive";"Não";5;0;1;1;1;2;2;4;"-16.46801304";"-43.43121303";"SPRF-MG";"DEL12-MG";"UOP01-DEL12-MG"
652569;2025-01-01;"quarta-feira";"10:40:00";"MT";70;669;"CACERES";"Transitar na contramão";"Colisão frontal";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";4;2;0;0;1;2;0;5;"-16.04148578";"-57.25884017";"SPRF-MT";"DEL03-MT";"UOP02-DEL03-MT"
652573;2025-01-01;"quarta-feira";"12:23:00";"RS";116;376;"TAPES";"Ausência de reação do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;1;0;0;1;1;2;"-30.739714";"-51.62594";"SPRF-RS";"DEL02-RS";"UOP02-DEL02-RS"
652617;2025-01-01;"quarta-feira";"17:45:00";"SC";101;207,4;"SAO JOSE";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Dupla";"Reta";"Sim";2;0;1;0;1;0;1;2;"-27.60001226";"-48.6226467";"SPRF-SC";"DEL01-SC";"UOP01-DEL01-SC"
652625;2025-01-01;"quarta-feira";"18:40:00";"MG";116;708,5;"MURIAE";"Velocidade Incompatível";"Tombamento";"Com Vítimas Fatais";"Anoitecer";"Crescente";"Nublado";"Simples";"Curva";"Não";2;1;0;0;0;1;0;2;"-21.16328873";"-42.37968988";"SPRF-MG";"DEL07-MG";"UOP02-DEL07-MG"
652648;2025-01-01;"quarta-feira";"17:00:00";"PE";407;7,4;"AFRANIO";"Demais falhas mecânicas ou elétricas";"Incêndio";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Aclive;Curva";"Não";2;0;0;0;2;0;0;1;"-8.47503105";"-41.0137105";"SPRF-PE";"DEL06-PE";"UOP02-DEL06-PE"
652655;2025-01-01;"quarta-feira";"20:20:00";"SC";101;327;"CAPIVARI DE BAIXO";"Ingestão de álcool pelo condutor";"Colisão com objeto";"Sem Vítimas";"Pleno dia";"Decrescente";"Garoa/Chuvisco";"Dupla";"Curva;Interseção de Vias";"Sim";3;0;0;0;2;1;0;3;"-28.42800492";"-48.88171497";"SPRF-SC";"DEL02-SC";"UOP01-DEL02-SC"
652656;2025-01-01;"quarta-feira";"20:00:00";"MG";381;530;"RIO MANSO";"Ausência de reação do condutor";"Colisão traseira";"Sem Vítimas";"Plena Noite";"Decrescente";"Chuva";"Dupla";"Curva";"Não";2;0;0;0;1;1;0;2;"-20.17327539";"-44.37545454";"SPRF-MG";"DEL04-MG";"UOP03-DEL04-MG"
652671;2025-01-01;"quarta-feira";"21:00:00";"PB";405;51,8;"MARIZOPOLIS";"Ingestão de álcool pelo condutor";"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Curva";"Sim";5;0;0;4;1;0;4;2;"-6.846113";"-38.366341";"SPRF-PB";"DEL03-PB";"UOP03-DEL03-PB"
652687;2025-01-02;"quinta-feira";"05:45:00";"MG";116;708,5;"MURIAE";"Velocidade Incompatível";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";6;0;2;1;2;1;3;6;"-21.16328873";"-42.37968988";"SPRF-MG";"DEL07-MG";"UOP02-DEL07-MG"
652691;2025-01-01;"quarta-feira";"19:00:00";"SC";153;117,8;"CONCORDIA";"Ausência de reação do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Simples";"Reta;Declive";"Não";2;0;1;0;0;1;1;2;"-27.370375";"-51.993419";"SPRF-SC";"DEL07-SC";"UOP04-DEL07-SC"
652701;2025-01-02;"quinta-feira";"07:20:00";"PR";116;125;"FAZENDA RIO GRANDE";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Dupla";"Reta";"Sim";4;0;0;1;1;2;1;4;"-25.59505309";"-49.31630659";"SPRF-PR";"DEL01-PR";"UOP03-DEL01-PR"
652703;2025-01-02;"quinta-feira";"07:15:00";"PB";230;105,6;"MOGEIRO";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";1;0;1;0;0;0;1;1;"-7.2075";"-35.5248";"SPRF-PB";"DEL01-PB";"UOP03-DEL01-PB"
652719;2025-01-02;"quinta-feira";"06:42:00";"MT";163;1102;"GUARANTA DO NORTE";"Ausência de reação do condutor";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Garoa/Chuvisco";"Dupla";"Curva;Aclive";"Não";4;0;1;2;0;1;3;2;"-9.77791545";"-54.90365982";"SPRF-MT";"DEL06-MT";"UOP03-DEL06-MT"
652720;2025-01-02;"quinta-feira";"06:30:00";"PR";163;137,7;"CAPITAO LEONIDAS MARQUES";"Velocidade Incompatível";"Colisão com objeto";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Declive;Reta";"Sim";4;1;0;0;1;2;0;4;"-25.5216371";"-53.5943858";"SPRF-PR";"DEL05-PR";"UOP05-DEL05-PR"
652729;2025-01-02;"quinta-feira";"08:20:00";"MG";40;627,5;"CONSELHEIRO LAFAIETE";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Sim";2;0;0;0;2;0;0;2;"-20.60236514";"-43.80699874";"SPRF-MG";"DEL05-MG";"UOP02-DEL05-MG"
652736;2025-01-02;"quinta-feira";"08:19:00";"MT";163;826;"SINOP";"Chuva";"Colisão com objeto";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Simples";"Retorno Regulamentado";"Sim";2;0;2;0;0;0;2;1;"-11.9396379";"-55.51573103";"SPRF-MT";"DEL06-MT";"UOP02-DEL06-MT"
652750;2025-01-02;"quinta-feira";"11:57:00";"PE";232;16;"JABOATAO DOS GUARARAPES";"Acessar a via sem observar a presença dos outros veículos";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;1;0;1;0;1;2;"-8.09414193";"-35.03716601";"SPRF-PE";"DEL01-PE";"UOP01-DEL01-PE"
652758;2025-01-02;"quinta-feira";"12:00:00";"RJ";116;228;"PIRAI";"Velocidade Incompatível";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Aclive;Curva";"Não";3;0;1;1;0;1;2;3;"-22.660623";"-43.82667";"SPRF-RJ";"DEL07-RJ";"UOP01-DEL07-RJ"
652760;2025-01-02;"quinta-feira";"13:30:00";"PR";116;104;"SAO JOSE DOS PINHAIS";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Múltipla";"Reta;Aclive";"Não";5;0;1;0;3;2;1;5;"-25.56472785";"-49.15859603";"SPRF-PR";"DEL01-PR";"UOP07-DEL01-PR"
652761;2025-01-02;"quinta-feira";"13:20:00";"ES";262;73,2;"MARECHAL FLORIANO";"Reação tardia ou ineficiente do condutor";"Colisão com objeto";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Ponte;Declive;Curva";"Não";2;0;0;1;0;1;1;2;"-20.41066352";"-40.88380166";"SPRF-ES";"DEL01-ES";"UOP02-DEL01-ES"
652762;2025-01-02;"quinta-feira";"13:01:00";"PE";101;46,5;"IGARASSU";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Crescente";"Sol";"Múltipla";"Reta";"Sim";3;0;0;0;2;1;0;3;"-7.87406004";"-34.90588126";"SPRF-PE";"DEL01-PE";"UOP02-DEL01-PE"
652778;2025-01-02;"quinta-feira";"14:30:00";"RJ";101;331;"RIO DE JANEIRO";"Ausência de reação do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Curva;Ponte";"Não";4;0;1;1;2;0;2;2;"-22.867662";"-43.195337";"SPRF-RJ";"DEL02-RJ";"UOP01-DEL02-RJ"
652781;2025-01-02;"quinta-feira";"11:30:00";"CE";222;292;"TIANGUA";"Transitar na contramão";"Colisão lateral sentido oposto";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Reta";"Não";3;0;0;1;2;0;1;2;"-3.67390203";"-40.88486128";"SPRF-CE";"DEL04-CE";"UOP02-DEL04-CE"
652793;2025-01-02;"quinta-feira";"06:50:00";"MA";135;124;"MIRANDA DO NORTE";"Manobra de mudança de faixa";"Colisão lateral sentido oposto";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";3;0;1;0;2;0;1;3;"-3.54575653";"-44.57616778";"SPRF-MA";"DEL01-MA";"UOP02-DEL01-MA"
652796;2025-01-02;"quinta-feira";"14:00:00";"RS";287;316;"MATA";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";1;0;0;1;0;0;1;1;"-29.65140716";"-54.53287505";"SPRF-RS";"DEL09-RS";"UOP01-DEL09-RS"
652799;2025-01-02;"quinta-feira";"17:20:00";"RJ";101;384;"RIO DE JANEIRO";"Manobra de mudança de faixa";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";3;0;1;0;1;1;1;3;"-22.87911609";"-43.62323999";"SPRF-RJ";"DEL03-RJ";"UOP01-DEL03-RJ"
652806;2025-01-02;"quinta-feira";"14:00:00";"RJ";116;257;"PINHEIRAL";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Dupla";"Reta";"Não";3;0;3;0;0;0;3;2;"-22.58631777";"-44.01407302";"SPRF-RJ";"DEL07-RJ";"UOP01-DEL07-RJ"
652812;2025-01-02;"quinta-feira";"19:20:00";"RS";290;347,8;"SAO SEPE";"Ausência de reação do condutor";"Colisão frontal";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Céu Claro";"Simples";"Curva";"Não";4;0;0;2;1;2;2;4;"-30.367035";"-53.606186";"SPRF-RS";"DEL09-RS";"UOP02-DEL09-RS"
652819;2025-01-02;"quinta-feira";"19:40:00";"TO";230;95;"SAO BENTO DO TOCANTINS";"Ultrapassagem Indevida";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Céu Claro";"Simples";"Aclive";"Não";2;0;1;0;1;0;1;2;"-6.03546808";"-47.92978989";"SPRF-TO";"DEL02-TO";"UOP03-DEL02-TO"
652821;2025-01-02;"quinta-feira";"18:20:00";"RJ";393;167;"TRES RIOS";"Reação tardia ou ineficiente do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Céu Claro";"Simples";"Curva";"Sim";3;0;1;0;1;1;1;2;"-22.12309905";"-43.20363803";"SPRF-RJ";"DEL05-RJ";"UOP01-DEL05-RJ"
652829;2025-01-02;"quinta-feira";"15:30:00";"PR";376;440;"TIBAGI";"Ausência de reação do condutor";"Colisão com objeto";"Sem Vítimas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Curva;Declive";"Não";2;0;0;0;1;2;0;3;"-24.803598";"-50.490267";"SPRF-PR";"DEL03-PR";"UOP02-DEL03-PR"
